canonical_cluster,overridden,distinct_raw_forms,total_occurrences,source_count,sources,raw_forms
LITTLE KIDS ADVENTURE DAY CARE LEARNING CENTER,yes,2,6,1,ACUDEN_2024,Little Kids Adventure Day Care Learning Center Inc|Little Kids Adventure Day Care and Leaning Center Inc.
MONTESSORI HOUSE,no,1,6,1,ACUDEN_2024,Montessori House LLC
MUNICIPIO AGUADA,no,2,6,2,ACT_2020|ACUDEN_2024,MUNICIPIO DE AGUADA|Municipio de Aguada
MUNICIPIO ANASCO,no,3,6,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF AÑASCO|MUNICIPIO DE AÑASCO|Municipio de Añasco
MUNICIPIO CAGUAS,no,2,6,2,ACT_2020|ACUDEN_2024,Municipality of Caguas|Municipio de Caguas
MUNICIPIO CANOVANAS,no,3,6,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF CANOVANAS|MUNICIPIO DE CANÓVANAS|Municipio de Canóvanas
MUNICIPIO FLORIDA,no,3,6,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF FLORIDA|MUNICIPIO DE FLORIDA|Municipio de Florida
MUNICIPIO HUMACAO,no,4,6,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF HUMACAO|MUNICIPIO AUTÓNOMO DE HUMACAO|MUNICIPIO DE HUMACAO|Municipio de Humacao
MUNICIPIO JAYUYA,no,4,6,2,ACT_2020|ACUDEN_2024,MUNICIPIO DE JAYUYA|Municipality of Jayuya|Municipio Jayuya|Municipio de Jayuya
MUNICIPIO LUQUILLO,no,3,6,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF LUQUILLO|MUNICIPIO DE LUQUILLO|Municipio de Luquillo
MUNICIPIO QUEBRADILLAS,no,1,6,1,ACUDEN_2024,Municipio de Quebradillas
MUNICIPIO SALINAS,no,3,6,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF SALINAS|MUNICIPIO DE SALINAS|Municipio de Salinas
MUNICIPIO VEGA ALTA,no,1,6,1,ACUDEN_2024,Municipio de Vega Alta
SAINT PATRICK S SCHOOL,no,1,6,1,ACUDEN_2024,Saint Patrick's School Inc.
TESORITOS DAY CARE AND LEARNING CENTER,no,2,6,1,ACUDEN_2024,Tesoritos Day Care & Learning Center Inc|Tesoritos Day Care and Learning Center Inc.
TOPEE TOPEE,yes,2,6,1,ACUDEN_2024,"Topee-Topee, LLC|Topeee Topee LLC"
BETTER GRADES TUTORING SERVICES,no,2,5,1,ACUDEN_2024,Better Grades Tutoring Services Inc|Better Grades Tutoring Services Inc.
CARITAS ALEGRES LEARNING CENTER,no,1,5,1,ACUDEN_2024,Caritas Alegres Learning Center LLC
CHILDREN S ZONE,no,1,5,1,ACUDEN_2024,"Children's Zone, Inc"
COLEGIO LA CASITA FELIZ,no,2,5,1,ACUDEN_2024,Colegio La Casita Feliz Inc|Colegio La Casita Feliz Inc.
CONSTRUCTORA HARTMANN,no,1,5,1,ACT_2020,"CONSTRUCTORA HARTMANN, S.E."
DATAWORKS CONSULTING GROUP,no,1,5,1,ACT_2020,DATAWORKS CONSULTING GROUP
FADIBELLA,no,1,5,1,ACUDEN_2024,Fadibella LLC
FERROVIAL CONSTRUCCION PR,no,1,5,1,ACT_2020,"FERROVIAL CONSTRUCCION PR, LLC"
JENNIFER SOTO SANTIAGO,yes,2,5,1,ACUDEN_2024,Jennifer Soto Santiago|Jennifer Soto Santiago d/b/a Centro Educativo ABC
JOSE A BATLLE AND ASOCIADOS,yes,2,5,1,ACT_2020,"INGENIEROS JOSÉ A. BATLLE & ASOCIADOS, CSP|JOSÉ A. BATLLE & ASOCIADOS, C.S.P."
KIDDIECARE PRESCHOOL AND TUTORING CENTER,yes,2,5,1,ACUDEN_2024,Kiddiecare Pre-School and Tutoring Center LLC|Kiddiecare Preschool and Tutoring Center LLC
METRIC ENGINEERING,no,1,5,1,ACT_2020,"METRIC ENGINEERING, INC."
MICHELLE RIVERA LOPEZ DBA CENTRO MONTESSORI DE GUAYNABO,no,1,5,1,ACUDEN_2024,Michelle Rivera López DBA Centro Montessori de Guaynabo
MILAGROS CABALLERO ROMAN DBA ESCUELITA D FANTASIA,no,1,5,1,ACUDEN_2024,Milagros Caballero Román DBA Escuelita D'Fantasía
MUNICIPIO AIBONITO,no,3,5,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF AIBONITO|MUNICIPIO DE AIBONITO|Municipio de Aibonito
MUNICIPIO ARECIBO,no,2,5,2,ACT_2020|ACUDEN_2024,MUNICIPIO DE ARECIBO|Municipio de Arecibo
MUNICIPIO GUANICA,no,1,5,1,ACUDEN_2024,Municipio de Guánica
MUNICIPIO GUAYAMA,no,2,5,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF GUAYAMA|Municipio de Guayama
MUNICIPIO GUAYANILLA CCD MUNDO DE SUENOS,no,1,5,1,ACUDEN_2024,Municipio de Guayanilla - CCD Mundo De Sueños
MUNICIPIO MAUNABO,no,2,5,2,ACT_2020|ACUDEN_2024,MUNICIPIO DE MAUNABO|Municipio de Maunabo
MUNICIPIO NARANJITO,no,2,5,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF NARANJITO|Municipio de Naranjito
NINOS EXPLORADORES,no,2,5,1,ACUDEN_2024,Niños Exploradores Inc|Niños Exploradores Inc.
O AND M CONSULTING ENGINEERING,no,1,5,1,ACT_2020,"O & M CONSULTING ENGINEERING ,P.S.C."
PARAISO INFANTIL,no,2,5,1,ACUDEN_2024,Paraiso Infantil Inc.|Paraíso Infantil Inc.
PEQUENINES CENTRO EDUCATIVO DE APRENDIZAJES MULTIPLES,no,1,5,1,ACUDEN_2024,"Pequeñines Centro Educativo de Aprendizajes Múltiples, Inc"
PILOTO CONSTRUCTION,no,1,5,1,ACT_2020,"PILOTO CONSTRUCTION, LLC"
TAMRIO,no,2,5,1,ACT_2020,"TAMRIO, INC|TAMRIO, INC."
TORRES ROSA CONSULTING ENGINEERS,no,1,5,1,ACT_2020,Torres-Rosa Consulting Engineers
ABC HUELLITAS DAY CARE CENTER,no,2,4,1,ACUDEN_2024,"ABC Huellitas Day Care Center Corp|ABC Huellitas Day Care Center, Corp"
ACADEMIA CRISTIANA HASIEL,no,2,4,1,ACUDEN_2024,"Academia Cristiana Hasiel Inc|Academia Cristiana Hasiel, Inc"
ADONAI DAY CARE AND LEARNING CENTER,yes,2,4,1,ACUDEN_2024,"Adonai Day Care & Learning Center, Corp.|Adonai Daycare and Learning Center Corp"
AECOM,yes,1,4,1,ACT_2020,AECOM Caribe L.L.P.
AFK LEARNING CENTER,no,2,4,1,ACUDEN_2024,AFK Learning Center|AFK Learning Center Inc.
CAC CRESPO BUILDERS,no,1,4,1,ACT_2020,"CAC CRESPO BUILDERS, LLC"
CASITA DE AMOR BILINGUAL PRESCHOOL AND DAY CARE CENTER,no,1,4,1,ACUDEN_2024,Casita de Amor Bilingual Preschool and Day Care Center Inc.
