municipality_id,name,normalized_name,region,county_fips,aliases,confidence,evidence_id,review_status,notes
muni_pr_mayaguez,Mayaguez,MAYAGUEZ,west,72097,MAYAGUEZ|MUNICIPIO DE MAYAGUEZ|Mayagüez,0.95,evidence_data_reference_pr_municipalities_csv_row_51_dc387ad6ef,accepted,
muni_pr_moca,Moca,MOCA,west,72099,MOCA|MUNICIPIO DE MOCA|Moca,0.95,evidence_data_reference_pr_municipalities_csv_row_52_b93ec951b7,accepted,
muni_pr_morovis,Morovis,MOROVIS,north,72101,MOROVIS|MUNICIPIO DE MOROVIS|Morovis,0.95,evidence_data_reference_pr_municipalities_csv_row_53_febda7de47,accepted,
muni_pr_naguabo,Naguabo,NAGUABO,east,72103,NAGUABO|MUNICIPIO DE NAGUABO|Naguabo,0.95,evidence_data_reference_pr_municipalities_csv_row_54_0a669258e2,accepted,
muni_pr_naranjito,Naranjito,NARANJITO,central,72105,NARANJITO|MUNICIPIO DE NARANJITO|Naranjito,0.95,evidence_data_reference_pr_municipalities_csv_row_55_374473e3a3,accepted,
muni_pr_orocovis,Orocovis,OROCOVIS,central,72107,OROCOVIS|MUNICIPIO DE OROCOVIS|Orocovis,0.95,evidence_data_reference_pr_municipalities_csv_row_56_c835c190fa,accepted,
muni_pr_patillas,Patillas,PATILLAS,south,72109,PATILLAS|MUNICIPIO DE PATILLAS|Patillas,0.95,evidence_data_reference_pr_municipalities_csv_row_57_43cd7aaedd,accepted,
muni_pr_penuelas,Penuelas,PENUELAS,south,72111,PENUELAS|MUNICIPIO DE PENUELAS|Peñuelas,0.95,evidence_data_reference_pr_municipalities_csv_row_58_2714df5e99,accepted,
muni_pr_ponce,Ponce,PONCE,south,72113,PONCE|MUNICIPIO DE PONCE|Ponce,0.95,evidence_data_reference_pr_municipalities_csv_row_59_4b6be377f3,accepted,
muni_pr_quebradillas,Quebradillas,QUEBRADILLAS,north,72115,QUEBRADILLAS|MUNICIPIO DE QUEBRADILLAS|Quebradillas,0.95,evidence_data_reference_pr_municipalities_csv_row_60_a8731067fc,accepted,
muni_pr_rincon,Rincon,RINCON,west,72117,RINCON|MUNICIPIO DE RINCON|Rincón,0.95,evidence_data_reference_pr_municipalities_csv_row_61_53d6e7d141,accepted,
muni_pr_rio_grande,Rio Grande,RIO GRANDE,metro,72119,RIO GRANDE|MUNICIPIO DE RIO GRANDE|Río Grande,0.95,evidence_data_reference_pr_municipalities_csv_row_62_2fda01c377,accepted,
muni_pr_sabana_grande,Sabana Grande,SABANA GRANDE,west,72121,SABANA GRANDE|MUNICIPIO DE SABANA GRANDE|Sabana Grande,0.95,evidence_data_reference_pr_municipalities_csv_row_63_137cb30a4e,accepted,
muni_pr_salinas,Salinas,SALINAS,south,72123,SALINAS|MUNICIPIO DE SALINAS|Salinas,0.95,evidence_data_reference_pr_municipalities_csv_row_64_3b55d52c01,accepted,
muni_pr_san_german,San German,SAN GERMAN,west,72125,SAN GERMAN|MUNICIPIO DE SAN GERMAN|San Germán,0.95,evidence_data_reference_pr_municipalities_csv_row_65_d7c1ea5b52,accepted,
muni_pr_san_juan,San Juan,SAN JUAN,metro,72127,SAN JUAN|MUNICIPIO DE SAN JUAN|SAN JUAN MUNICIPIO|SJU|RIO PIEDRAS|HATO REY|SANTURCE|San Juan,0.95,evidence_data_reference_pr_municipalities_csv_row_66_750b75901f,accepted,
muni_pr_san_lorenzo,San Lorenzo,SAN LORENZO,east,72129,SAN LORENZO|MUNICIPIO DE SAN LORENZO|San Lorenzo,0.95,evidence_data_reference_pr_municipalities_csv_row_67_9809a6554e,accepted,
muni_pr_san_sebastian,San Sebastian,SAN SEBASTIAN,west,72131,SAN SEBASTIAN|MUNICIPIO DE SAN SEBASTIAN|San Sebastián,0.95,evidence_data_reference_pr_municipalities_csv_row_68_cee3c01478,accepted,
muni_pr_santa_isabel,Santa Isabel,SANTA ISABEL,south,72133,SANTA ISABEL|MUNICIPIO DE SANTA ISABEL|Santa Isabel,0.95,evidence_data_reference_pr_municipalities_csv_row_69_8c1ec3d7e7,accepted,
muni_pr_toa_alta,Toa Alta,TOA ALTA,metro,72135,TOA ALTA|MUNICIPIO DE TOA ALTA|Toa Alta,0.95,evidence_data_reference_pr_municipalities_csv_row_70_5da02758db,accepted,
muni_pr_toa_baja,Toa Baja,TOA BAJA,metro,72137,TOA BAJA|MUNICIPIO DE TOA BAJA|Toa Baja,0.95,evidence_data_reference_pr_municipalities_csv_row_71_ec6ff2eded,accepted,
muni_pr_trujillo_alto,Trujillo Alto,TRUJILLO ALTO,metro,72139,TRUJILLO ALTO|MUNICIPIO DE TRUJILLO ALTO|Trujillo Alto,0.95,evidence_data_reference_pr_municipalities_csv_row_72_592109671c,accepted,
muni_pr_utuado,Utuado,UTUADO,central,72141,UTUADO|MUNICIPIO DE UTUADO|Utuado,0.95,evidence_data_reference_pr_municipalities_csv_row_73_b0074c7dad,accepted,
muni_pr_vega_alta,Vega Alta,VEGA ALTA,north,72143,VEGA ALTA|MUNICIPIO DE VEGA ALTA|Vega Alta,0.95,evidence_data_reference_pr_municipalities_csv_row_74_6b05e7edb0,accepted,
muni_pr_vega_baja,Vega Baja,VEGA BAJA,north,72145,VEGA BAJA|MUNICIPIO DE VEGA BAJA|Vega Baja,0.95,evidence_data_reference_pr_municipalities_csv_row_75_7d85642cde,accepted,
muni_pr_vieques,Vieques,VIEQUES,east,72147,VIEQUES|MUNICIPIO DE VIEQUES|ISLA VIEQUES|Vieques,0.95,evidence_data_reference_pr_municipalities_csv_row_76_37019fd5c8,accepted,
muni_pr_villalba,Villalba,VILLALBA,south,72149,VILLALBA|MUNICIPIO DE VILLALBA|Villalba,0.95,evidence_data_reference_pr_municipalities_csv_row_77_7380c16e22,accepted,
muni_pr_yabucoa,Yabucoa,YABUCOA,east,72151,YABUCOA|MUNICIPIO DE YABUCOA|Yabucoa,0.95,evidence_data_reference_pr_municipalities_csv_row_78_b1aa260e6b,accepted,
muni_pr_yauco,Yauco,YAUCO,south,72153,YAUCO|MUNICIPIO DE YAUCO|Yauco,0.95,evidence_data_reference_pr_municipalities_csv_row_79_97eec4c6c3,accepted,
