source_id,family,required,path_type,wired_status,acquisition_status,materialization_status,coverage_status,reconciliation_status,freshness_status,certification_status,materiality_label,has_contract,local_rows,min_rows,fixture_signal,dropzone_path,coverage_reasons
contralor_electoral,political_finance,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/OCE/,no coverage contract declared
cor3,territorial,True,api_producer,wired_producer,not_acquired,not_materialized,unverifiable,not_applicable,unknown,uncertified,empty,True,0,1,False,,authoritative_universe_total not yet measured (method: portal_count)
crim_property_tax,municipal,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/CRIM/,no coverage contract declared
dcaa_active_contractors,manual_export,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,True,data/raw/Active Contractor Listing/,no coverage contract declared
ddec_incentives,territorial,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/DDEC_Incentives/,no coverage contract declared
doe_grants,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
doj_grants,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
doj_settlements,federal,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/DOJ_Settlements/,no coverage contract declared
dol_whd_osha,federal,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
donaciones_pr,political_finance,False,manual_export,manual_dropzone,not_acquired,not_materialized,below_contract,not_applicable,unknown,uncertified,empty,True,0,1,False,data/raw/Donaciones/,coverage 0.0% of 4686 < floor 98.0%
dot_grants,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
dtop_centerline_lrs,infrastructure,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/manual/dtop_centerline_lrs/,no coverage contract declared
dtop_road_contracts,infrastructure,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/manual/dtop_road_contracts/,no coverage contract declared
dtop_vehicle_fees,territorial,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/DTOP/,no coverage contract declared
ed_grants,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
eia_power_sector,federal,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
emma_bonds,bonds,True,api_producer,wired_producer,automated,fully_materialized,unverifiable,not_applicable,unknown,provisional,seed,True,35,1,False,,authoritative_universe_total not yet measured (method: portal_count)
emma_infra_revenue,infrastructure_revenue,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
epa_grants,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
eqb_epa_icis,territorial,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,0,False,,no coverage contract declared
equitable_sharing,federal,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/Equitable_Sharing/,no coverage contract declared
estadisticas_pr_external_trade,territorial,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,0,False,,no coverage contract declared
exim_bank,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
fcc_usf,federal,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
fdic,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
fec,political_finance,True,api_adapter,wired_adapter,automated,fully_materialized,unverifiable,not_applicable,unknown,provisional,substantial,True,1049,1,True,,authoritative_universe_total not yet measured (method: api_metadata)
fec_committees,political_finance,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,True,,no coverage contract declared
federal_audit_clearinghouse,federal,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
fema_hmgp,federal,False,api_adapter,wired_adapter,automated,not_materialized,unverifiable,not_applicable,unknown,uncertified,empty,True,0,1,False,,authoritative_universe_total not yet measured (method: api_metadata)
fema_individual_assistance,federal,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
fema_pa_openfema_v2,federal,True,api_adapter,wired_adapter,automated,fully_materialized,unverifiable,not_applicable,unknown,provisional,substantial,True,2000,1,False,,authoritative_universe_total not yet measured (method: api_metadata)
fhlb,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
