city_norm,total_donated,num_donors,municipality,federal_rows,federal_amount,federal_unique_targets,political_nodes,sample_political_nodes,sample_federal_targets,muni_norm,political_federal_ratio
JUANA DIAZ,2482.93,14,JUANA DIAZ,52,2695363.0,2,3,COMITE MUNICIPAL JUANA DIAZ PIP | COMITE MUNICIPAL JUANA DIAZ PNP | COMITE MUNICIPAL JUANA DIAZ PPD,MUNICIPALITY OF JUANA DIAZ | JUANA DIAZ HOUSING FOR ELDERLY,JUANA DIAZ,0.0009211857549428
JUNCOS,11275.0,17,JUNCOS,53,1965394.0,3,3,COMITE MUNICIPAL JUNCOS PIP | COMITE MUNICIPAL JUNCOS PNP | COMITE MUNICIPAL JUNCOS PPD,JUNCOS LIMITED DIVIDEND PARTNERSHIP | GOBIERNO MUNICIPAL DE JUNCOS | CASA DE NINOS MANUEL FERNANDEZ JUNCOS,JUNCOS,0.0057367632138899
LAJAS,36488.77,28,LAJAS,53,923455.0,2,2,COMITE MUNICIPAL LAJAS PIP | COMITE MUNICIPAL LAJAS PPD,"LAJAS RACING INC | LAJAS, MUNICIPALITY OF",LAJAS,0.039513316837312
LARES,18260.0,27,LARES,52,630913.0,1,2,COMITE MUNICIPAL LARES PNP | COMITE MUNICIPAL LARES PPD,MUNICIPIO DE LARES,LARES,0.028942183787622
LAS MARIAS,2260.0,5,LAS MARIAS,43,462167.0,1,3,COMITE MUNICIPAL LAS MARIAS PIP | COMITE MUNICIPAL LAS MARIAS PNP | COMITE MUNICIPAL LAS MARIAS PPD,MUNICIPIO DE LAS MARIAS,LAS MARIAS,0.0048900072917365
LOIZA,1540.0,5,LOIZA,46,498070.0,1,3,COMITE MUNICIPAL LOIZA PIP | COMITE MUNICIPAL LOIZA PNP | COMITE MUNICIPAL LOIZA PPD,MUNICIPIO DE LOIZA,LOIZA,0.0030919348685927
LUQUILLO,5020.0,9,LUQUILLO,55,1271503.0,1,3,COMITE MUNICIPAL LUQUILLO PIP | COMITE MUNICIPAL LUQUILLO PNP | COMITE MUNICIPAL LUQUILLO PPD,MUNICIPALITY OF LUQUILLO,LUQUILLO,0.0039480834885957
MANATI,5125.0,8,MANATI,53,3145549.0,2,3,COMITE MUNICIPAL MANATI PIP | COMITE MUNICIPAL MANATI PNP | COMITE MUNICIPAL MANATI PPD,MUNICIPIO DE MANATI | MANATI PLAZA APARTMENTS S.E.,MANATI,0.0016292863344363
MAYAGUEZ,37255.0,81,MAYAGUEZ,86,18753861.0,9,3,COMITE MUNICIPAL MAYAGUEZ PIP | COMITE MUNICIPAL MAYAGUEZ PNP | COMITE MUNICIPAL MAYAGUEZ PPD,"H I MAYAGUEZ INC | ROOFING SERVICES OF MAYAGUEZ, INC | MAYAGUEZ HILTON CORPORATION | RECINTO UNIVERSITARIO MAYAGUEZ | MAYAGUEZ LP",MAYAGUEZ,0.001986524268256
MOCA,25121.76,55,MOCA,59,1465095.0,3,3,COMITE MUNICIPAL MOCA PIP | COMITE MUNICIPAL MOCA PNP | COMITE MUNICIPAL MOCA PPD,MOCA CONCRETE POLES | MOCA AIR CONDITIONING SERVICES | MUNICIPIO DE MOCA,MOCA,0.0171468471327797
MOROVIS,1275.0,7,MOROVIS,45,790167.0,1,1,COMITE MUNICIPAL MOROVIS PNP,MUNICIPIO DE MOROVIS,MOROVIS,0.001613582951452
NAGUABO,7452.82,12,NAGUABO,50,2242313.0,1,2,COMITE MUNICIPAL NAGUABO PIP | COMITE MUNICIPAL NAGUABO PNP,MUNICIPALITY OF NAGUABO,NAGUABO,0.0033237197483134
NARANJITO,5001.51,21,NARANJITO,48,2324070.0,1,3,COMITE MUNICIPAL NARANJITO PIP | COMITE MUNICIPAL NARANJITO PNP | COMITE MUNICIPAL NARANJITO PPD,NARANJITO MUNICIPALITY OF,NARANJITO,0.0021520479159405
OROCOVIS,2750.0,7,OROCOVIS,87,1759166.0,2,3,COMITE MUNICIPAL OROCOVIS PIP | COMITE MUNICIPAL OROCOVIS PNP | COMITE MUNICIPAL OROCOVIS PPD,"MUNICIPALITY OF OROCOVIS | OROCOVIS, MUNICIPIO DE",OROCOVIS,0.0015632407629524
PATILLAS,23695.0,17,PATILLAS,52,843699.0,2,3,COMITE MUNICIPAL PATILLAS PIP | COMITE MUNICIPAL PATILLAS PNP | COMITE MUNICIPAL PATILLAS PPD,CENTRO DE SERVICIOS PRIMARIOS DE SALUD DE PATILLAS INC | MUNICIPALITY OF PATILLAS,PATILLAS,0.0280846605246657
PONCE,85627.61,134,PONCE,243,34042589.7,13,3,COMITE MUNICIPAL PONCE PIP | COMITE MUNICIPAL PONCE PNP | COMITE MUNICIPAL PONCE PPD,"NEW PONCE SHOPPING CENTER SE, THE | PONCE MEDICAL SCHOOL FOUNDATION INC | PONCE RESORTS, INC. | A.D.P. ALARMAS DE PONCE, INC | 800 PONCE DE LEON CORP",PONCE,0.002515308346239
QUEBRADILLAS,5869.5,35,QUEBRADILLAS,2,313302.0,1,3,COMITE MUNICIPAL QUEBRADILLAS PIP | COMITE MUNICIPAL QUEBRADILLAS PNP | COMITE MUNICIPAL QUEBRADILLAS PPD,ALTURAS DE QUEBRADILLAS INC,QUEBRADILLAS,0.0187343202405346
RINCON,2465.0,7,RINCON,56,124350.0,2,2,COMITE MUNICIPAL RINCON PIP | COMITE MUNICIPAL RINCON PNP,"RINCON DIAZ, MARTHA PATRICIA | RINCON MUNICIPALITY OF",RINCON,0.0198230800160836
RIO GRANDE,16805.0,18,RIO GRANDE,74,1626852.5699999998,2,3,COMITE MUNICIPAL RIO GRANDE PIP | COMITE MUNICIPAL RIO GRANDE PNP | COMITE MUNICIPAL RIO GRANDE PPD,RIO GRANDE MANAGEMENT INC | MUNICIPIO DE RIO GRANDE,RIO GRANDE,0.010329762087784
