expected_input,source_dataset,input_status,candidate_relpath,candidate_path,row_count,sha256,source_family,source_manifest_path,lineage_path,mapping_mode,reason,output_status
data/staging/processed/pr_usda_master.csv,usda,blocked_not_in_r4_9f_unfreeze_candidates,,,0,,federal_sectoral_usda,,,r4_9g_blocked_non_candidate,candidate_missing_required_columns,BLOCKED_DIAGNOSTIC
data/staging/processed/pr_doe_master.csv,doe,blocked_not_in_r4_9f_unfreeze_candidates,,,0,,federal_sectoral_doe,,,r4_9g_blocked_non_candidate,candidate_missing_required_columns,BLOCKED_DIAGNOSTIC
data/staging/processed/pr_hud_master.csv,hud,blocked_not_in_r4_9f_unfreeze_candidates,,,0,,hud_cdbg,,,r4_9g_blocked_non_candidate,candidate_missing_required_columns,BLOCKED_DIAGNOSTIC
data/staging/processed/pr_sbir_master.csv,sbir,blocked_not_in_r4_9f_unfreeze_candidates,,,0,,federal_sectoral_sbir,,,r4_9g_blocked_non_candidate,candidate_empty_rows,BLOCKED_DIAGNOSTIC
data/staging/processed/pr_epa_master.csv,epa,blocked_not_in_r4_9f_unfreeze_candidates,,,0,,federal_sectoral_epa,,,r4_9g_blocked_non_candidate,source_file_not_found,BLOCKED_DIAGNOSTIC
data/staging/processed/pr_usace_civil_master.csv,usace_civil,blocked_not_in_r4_9f_unfreeze_candidates,,,0,,federal_sectoral_usace,,,r4_9g_blocked_non_candidate,source_file_not_found,BLOCKED_DIAGNOSTIC
data/staging/processed/pr_wioa_grants.csv,wioa,blocked_not_in_r4_9f_unfreeze_candidates,,,0,,federal_sectoral_wioa,,,r4_9g_blocked_non_candidate,source_file_not_found,BLOCKED_DIAGNOSTIC
data/staging/expansion/expansion_idv_indirect_pr.csv,usaspending_expansion,validated_r4_9g_candidate,data/staging/expansion/expansion_idv_indirect_pr.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper/data/staging/expansion/expansion_idv_indirect_pr.csv,540,893f6d0aa4612f1b189452d05f032913545a894f4dc0b29dd840147149b9c63f,usaspending_federal_awards_backbone,data/manifests/r4_9g/02_expansion_idv_indirect_pr.csv.manifest.json,data/staging/expansion/expansion_idv_indirect_pr.csv,r4_9g_scoped_candidate,validated candidate included in partial diagnostic rebuild,PARTIAL_DIAGNOSTIC
data/staging/expansion/expansion_dod_upr_2001_2015.csv,usaspending_expansion,validated_r4_9g_candidate,data/staging/expansion/expansion_dod_upr_2001_2015.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper/data/staging/expansion/expansion_dod_upr_2001_2015.csv,1901,e4bfa0a20fffa2a97d4e87b77043aa9acce5b0aa244183a70ed0844000115013,usaspending_federal_awards_backbone,data/manifests/r4_9g/03_expansion_dod_upr_2001_2015.csv.manifest.json,data/staging/expansion/expansion_dod_upr_2001_2015.csv,r4_9g_scoped_candidate,validated candidate included in partial diagnostic rebuild,PARTIAL_DIAGNOSTIC
data/staging/expansion/expansion_dod_upr_2016_2025.csv,usaspending_expansion,validated_r4_9g_candidate,data/staging/expansion/expansion_dod_upr_2016_2025.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper/data/staging/expansion/expansion_dod_upr_2016_2025.csv,2774,a4f7b0a5a7c63070ef7482522716458d3eafdce73b7ea81a86d575143b6aff9c,usaspending_federal_awards_backbone,data/manifests/r4_9g/04_expansion_dod_upr_2016_2025.csv.manifest.json,data/staging/expansion/expansion_dod_upr_2016_2025.csv,r4_9g_scoped_candidate,validated candidate included in partial diagnostic rebuild,PARTIAL_DIAGNOSTIC
data/staging/expansion/expansion_reconstruction_2017_2025.csv,usaspending_expansion,validated_r4_9g_candidate,data/staging/expansion/expansion_reconstruction_2017_2025.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper/data/staging/expansion/expansion_reconstruction_2017_2025.csv,1356,c08e70c9539f0a1de4fd2e8c739aa6a63f1a5a80db0227d7537dd08c8f71279f,usaspending_federal_awards_backbone,data/manifests/r4_9g/05_expansion_reconstruction_2017_2025.csv.manifest.json,data/staging/expansion/expansion_reconstruction_2017_2025.csv,r4_9g_scoped_candidate,validated candidate included in partial diagnostic rebuild,PARTIAL_DIAGNOSTIC
